ota_hotel_id,name,rooms_num,free_rooms_amount,max_capacity,available_rooms_percent,date,min_price
grand_baikal,Отель Гранд Байкал,64,4,8,6.25,2026-02-21,14382.00
sobolinka_parkhotel_2,Парк-отель Соболинка,38,1,1,2.63,2026-02-21,9138.00
taiga_2,Отель Taiga,101,83,132,82.18,2026-02-21,5694.00
evropa_hotel,Отель Европа,58,13,15,22.41,2026-02-21,5500.00
angara_hotel,Ангара Отель,300,14,14,4.67,2026-02-21,5250.00
flagman_hotel_4,Отель Флагман,13,6,9,46.15,2026-02-21,6000.00
irkutsk_city_center,Irkutsk City Center,206,17,34,8.25,2026-02-21,9500.00
victory_hotel_4,Гостиница Виктория,30,4,8,13.33,2026-02-21,5200.00
baikal_forest_hotel,Отель Baikal Forest,156,4,10,2.56,2026-02-21,10263.00
malinovka_3,Малиновка,0,1,3,0.0,2026-02-21,8489.00
olkhonstory_guest_house,Ольхон стори,6,2,3,33.33,2026-02-21,9988.00
tajga_hotel,Отель Тайга,44,4,12,9.09,2026-02-21,7600.00
baikal_view_hotel,Baikal View Hotel,99,35,72,35.35,2026-02-21,18118.00
best_eastern_hotel_zvezda,Отель Звезда,65,26,52,40.0,2026-02-21,10800.00
vera_baikal,Отель Вера Байкал,38,11,22,28.95,2026-02-21,8265.00
dohodnyij_dom_listratvoj_butikhotel,Отель Доходный дом Листратовой,15,3,5,20.0,2026-02-21,5280.00
klubnyij_kvartal_apartments,Клубный Квартал,67,3,3,4.48,2026-02-21,4000.00
hotel_khotej,Отель Хотэй,25,6,12,24.0,2026-02-21,10925.00
kheyvitsa_guest_house,Отель Гостевой Дом Хейвица,8,6,12,75.0,2026-02-21,5300.00
legend_of_baikal,Отель Легенда Байкала,35,3,3,8.57,2026-02-21,13125.00
hotel_pushkin_2,Отель ПушкинЪ,23,8,16,34.78,2026-02-21,8481.00
lada_8,Отель Гостиница ЛАДА,22,4,9,18.18,2026-02-21,8400.00
gostinitsa_ustilim,Усть-Илим,80,33,37,41.25,2026-02-21,1818.00
meridian_7,Отель Меридиан,33,25,41,75.76,2026-02-21,4200.00
matreshka_hotel,Отель Matreshka,35,13,26,37.14,2026-02-21,5336.00
otel_irkut,Отель Иркут,30,15,28,50.0,2026-02-21,3350.00
hotel_premium_hotel_pushkin,Премиум-отель Пушкин,46,26,52,56.52,2026-02-21,18000.00
miniotel_gostinitsa_nerpenok,Нерпенок,0,3,9,0.0,2026-02-21,9400.00
rus_hotel_irkutsk,Гостиничный Комплекс Русь,56,20,27,35.71,2026-02-21,4055.00
baykal_khan_hotel_olkhon,Отель Байкал-Хан Ольхон,40,3,6,7.5,2026-02-21,17308.00
guesthouse_dudeevukh,Меблированные комнаты Дудеевых,0,1,3,0.0,2026-02-21,8989.00
north_star_hotel_9,Отель North Star,12,16,38,133.33,2026-02-21,6500.00
city_park_hotel_13,Меблированные комнаты City Park,0,3,3,0.0,2026-02-21,2538.00
7_dorog,Гостиница 7 дорог,19,1,1,5.26,2026-02-21,6190.00
arena_g_irkutsk,Отель Арена Иркутск,15,14,30,93.33,2026-02-21,2443.00
parus_18,Курортный отель Парус,17,3,8,17.65,2026-02-21,6326.00
inn_business_hall,Отель Business Hall,18,8,16,44.44,2026-02-21,4420.00
minihotel_albatros,Гостиница Альбатрос,12,2,6,16.67,2026-02-21,2700.00
international_hotel_sayen,SAYEN,25,11,22,44.0,2026-02-21,20400.00
minihotel_panda,Отель ДиаДэй,9,3,6,33.33,2026-02-21,2880.00
