ota_hotel_id,master_id,name,name_en,city,address,url,rooms_number,first_seen_date,last_seen_date
hotel_angara,6715745,Отель Ангара-Приоритет,Angara-Prioritet Hotel,Ангарск,"Квартал Б, д.13, Ангарск",https://ostrovok.ru/hotel/russia/irkutsk/mid6715745/hotel_angara,31,2026-03-17,2026-03-19
smart_hotel_kdo_irkutsk_hotel,10153381,Отель Smart Hotel Иркутск,Smart Hotel Irkutsk Hotel,Иркутск,"улица Челнокова, д.1, Иркутск",https://ostrovok.ru/hotel/russia/irkutsk/mid10153381/smart_hotel_kdo_irkutsk_hotel,7,2026-03-17,2026-03-19
gostevoy_dom_forest_home,13345410,Forest Home,Forest Home,Хужир,"улица Мира, 14, Хужир",https://ostrovok.ru/hotel/russia/irkutsk/mid13345410/gostevoy_dom_forest_home,,2026-03-17,2026-03-19
flagman_hotel,7725500,Отель Флагман,Flagman Hotel,Никола,"поселок Никола, улица Нагорная, д.41, Никола",https://ostrovok.ru/hotel/russia/irkutsk/mid7725500/flagman_hotel,10,2026-03-17,2026-03-19
hotel_pushkin_2,6932873,Отель ПушкинЪ,Pushkin`Hotel,Ангарск,"улица Мира, д. 18, Ангарск",https://ostrovok.ru/hotel/russia/irkutsk/mid6932873/hotel_pushkin_2,23,2026-03-17,2026-03-19
momant_house_recreation_camp,13350897,Momant house,Momant house,Большое Голоустное,"улица Харануты, д. 19В, Большое Голоустное",https://ostrovok.ru/hotel/russia/irkutsk/mid13350897/momant_house_recreation_camp,,2026-03-17,2026-03-19
pekin_hotel,13730320,Отель Пекин,Pekin Hotel,Молодёжный,"п. Молодежный, улица Кузнецовой, д.11, Молодёжный",https://ostrovok.ru/hotel/russia/irkutsk/mid13730320/pekin_hotel,86,2026-03-17,2026-03-19
artrezidentsiya_port_olhon,10004854,Арт-отель Порт Ольхон,Port Olkhon Art Hotel,Хужир,"ул. Байкальская, 2, Хужир",https://ostrovok.ru/hotel/russia/irkutsk/mid10004854/artrezidentsiya_port_olhon,65,2026-03-17,2026-03-19
tikhaya_gavan_4,9989818,"Отель ""Тихая Гавань""","Hotel ""tikhaya Gavan""",Слюдянка,"улица 40 лет Октября, 56, Слюдянка",https://ostrovok.ru/hotel/russia/irkutsk/mid9989818/tikhaya_gavan_4,12,2026-03-17,2026-03-19
the_hotel_on_volzhskaya,11311377,Гостиница на Волжской,The hotel on Volzhskaya,Иркутск,"ул. Волжская, д. 14А, Иркутск",https://ostrovok.ru/hotel/russia/irkutsk/mid11311377/the_hotel_on_volzhskaya,30,2026-03-17,2026-03-19
yupiter,9987415,Юпитер,Jupiter,Иркутск,"Россия, Иркутская область, Иркутск, ул. Шевцова, д. 35, Иркутск",https://ostrovok.ru/hotel/russia/irkutsk/mid9987415/yupiter,23,2026-03-17,2026-03-19
hotel_shvedka,13259783,Отель ШВЕДКА,Hotel Shvedka,Братск,"ул. Мира, д. 25, Братск, Братск",https://ostrovok.ru/hotel/russia/irkutsk/mid13259783/hotel_shvedka,29,2026-03-17,2026-03-19
hotel_dacha_baikaleco,10010618,Семейный отель Дача БайкалЭко,Dacha BaikalEco Family Hotel,Хужир,"улица Лесная, д. 32, Хужир",https://ostrovok.ru/hotel/russia/irkutsk/mid10010618/hotel_dacha_baikaleco,10,2026-03-17,2026-03-19
gostevoy_dom_melodiya_baykala,10462241,Гостевой дом Мелодия Байкала,Gostevoy Dom Melodiya Baykala,Листвянка,"Листвянское муниципальное образование, посёлок Никола, Листвянка",https://ostrovok.ru/hotel/russia/irkutsk/mid10462241/gostevoy_dom_melodiya_baykala,,2026-03-17,2026-03-19
oktyabrskaya_minihotel,8751925,Октябрьская,Oktyabr'skaya,Нижнеудинск,"улица Октябрьская, д.1 Б, Нижнеудинск",https://ostrovok.ru/hotel/russia/irkutsk/mid8751925/oktyabrskaya_minihotel,,2026-03-17,2026-03-19
hotel_shishki,13113638,Меблированные комнаты Шишки,Shishki,Утулик,"п. Утулик, ул. Ленская, д.17, Утулик",https://ostrovok.ru/hotel/russia/irkutsk/mid13113638/hotel_shishki,,2026-03-17,2026-03-19
history_boutiquehotel,9741097,Отель HISTORY Бутик-отель и СПА,HISTORY Boutique Hotel & SPA,Иркутск,"улица 3 Июля, д.26, Иркутск",https://ostrovok.ru/hotel/russia/irkutsk/mid9741097/history_boutiquehotel,40,2026-03-17,2026-03-19
katantsa_hotel,13328659,Отель Катанца,Katantsa Hotel,Шелехов,"Центральный проспект, д.7, Шелехов",https://ostrovok.ru/hotel/russia/irkutsk/mid13328659/katantsa_hotel,19,2026-03-17,2026-03-19
modul,8585836,Гостиница Комфорт,Komfort Hotel,Иркутск,"улица Трилиссера, д.57 помещ.1, Иркутск",https://ostrovok.ru/hotel/russia/irkutsk/mid8585836/modul,12,2026-03-17,2026-03-19
gostevoy_dom_chilla_villa_baikal,10373429,Гостевой дом Chilla_villa_baikal,Gostevoy Dom Chilla_villa_baikal,Байкальск,"1-я Байкальская улица, 26, Байкальск",https://ostrovok.ru/hotel/russia/irkutsk/mid10373429/gostevoy_dom_chilla_villa_baikal,,2026-03-17,2026-03-17
magnetit,8825582,Отель Магнетит,Gostinitsa Magnetit,Железногорск-Илимский,"Квартал, 2, д. 72, Железногорск-Илимский",https://ostrovok.ru/hotel/russia/irkutsk/mid8825582/magnetit,55,2026-03-17,2026-03-19
praskovya_guest_house,9999816,Отель Прасковья,Praskovya Hotel,Саянск,"микрорайон Юбилейный, д.13, Саянск",https://ostrovok.ru/hotel/russia/irkutsk/mid9999816/praskovya_guest_house,12,2026-03-17,2026-03-19
bajkalskie_sezonyi,9992857,Отель Парк Байкальские сезоны,Park Baykalskie Sezony Hotel,Листвянка,"Иркутская Область, м.р-н Иркутский, г.п. Листвянское, п Ангарские Хутора, ул Прибрежная, зд. 5а, Листвянка",https://ostrovok.ru/hotel/russia/irkutsk/mid9992857/bajkalskie_sezonyi,22,2026-03-17,2026-03-19
gostevoi_dom_margobai,8735570,Отель Маргобай,Hotel Margobaj,Байкальск,"мкр. Строитель, пер. Берёзовый, д. 9, Байкальск",https://ostrovok.ru/hotel/russia/irkutsk/mid8735570/gostevoi_dom_margobai,14,2026-03-17,2026-03-19
pribaikalskaya_hotel,10457093,Гостиница Прибайкальская,Pribajkalskaya Hotel,Листвянка,"62 км. Байкальского Тракта, Листвянка",https://ostrovok.ru/hotel/russia/irkutsk/mid10457093/pribaikalskaya_hotel,87,2026-03-17,2026-03-19
gloria_20,8854283,Отель Глория,Gloriya Hotel,Усть-Кут,"ул Л.Толстого, д. 36, Усть-Кут",https://ostrovok.ru/hotel/russia/irkutsk/mid8854283/gloria_20,14,2026-03-17,2026-03-19
saturn_8,9291161,Сатурн,Saturn,Иркутск,"Россия, 664002, Иркутская область, Иркутск, ул. Красный путь, д. 77, Иркутск",https://ostrovok.ru/hotel/russia/irkutsk/mid9291161/saturn_8,23,2026-03-17,2026-03-19
trakstop_38_2,10669986,Trakstop 38,Trakstop 38,Култук,"Komsomol'skaja 23/3, Култук",https://ostrovok.ru/hotel/russia/irkutsk/mid10669986/trakstop_38_2,11,2026-03-17,2026-03-19
mir_baykala_hotel,10219071,Отель Мир Байкала,Mir Baykala Hotel,Куркут,"село Сахюрта, бухта Базарная, Куркут",https://ostrovok.ru/hotel/russia/irkutsk/mid10219071/mir_baykala_hotel,29,2026-03-17,2026-03-19
planeta_9,8850641,Планета,Planeta,Иркутск,"ул. Розы Люксембург, 144, Иркутск",https://ostrovok.ru/hotel/russia/irkutsk/mid8850641/planeta_9,33,2026-03-17,2026-03-19
baikal_capsule_hostel,8881125,Байкал Капсул (Байкальская капсула),Baikal Capsule,Иркутск,"Россия, Иркутская область, Иркутск, ул. Трилиссера, д. 141в, Иркутск",https://ostrovok.ru/hotel/russia/irkutsk/mid8881125/baikal_capsule_hostel,,2026-03-17,2026-03-19
vitim,9291159,Витим,Vitim,Иркутск,"Россия, Иркутская область, Иркутск, ул. Терешковой, д. 2а, Иркутск",https://ostrovok.ru/hotel/russia/irkutsk/mid9291159/vitim,,2026-03-17,2026-03-19
metelitsa_6,9211770,Отель Метелица,Metelitsa Hotel,Усть-ордынский,"Иркутская обл, Усть-Ордынский, 68-км автотрассы Иркутск-Качуг, Усть-ордынский",https://ostrovok.ru/hotel/russia/irkutsk/mid9211770/metelitsa_6,5,2026-03-17,2026-03-19
home_hotel_apartments_home_wanted_on_piskunov_street,11232250,Апартаменты Home Hotel (Хоум Хотел) на улице Пискунова,Home Hotel Apartments (Home Wanted) on Piskunov Street,Иркутск,"ул. Пискунова, 142/5, Иркутск",https://ostrovok.ru/hotel/russia/irkutsk/mid11232250/home_hotel_apartments_home_wanted_on_piskunov_street,,2026-03-17,2026-03-19
gostevoy_dom_isiger_baikal,11254237,Гостевой дом ISIGER BAIKAL,Gostevoy Dom Isiger Baikal,Бугульдейка,"Байкальская ул. 18, Бугульдейка",https://ostrovok.ru/hotel/russia/irkutsk/mid11254237/gostevoy_dom_isiger_baikal,,2026-03-17,2026-03-19
gostevoy_dom_mandarkhan_obaykal,11306441,"Мандархан, о.Байкал","Mandarkhan, O.baykal",Куркут,"Иркутская область, Ольхонский район, Шара-Тоготское муниципальное  образование, д. Куркут, территория местность Мандархан, Куркут",https://ostrovok.ru/hotel/russia/irkutsk/mid11306441/gostevoy_dom_mandarkhan_obaykal,,2026-03-17,2026-03-19
glemping_hygge_barn,11337901,Hygge Barn,Hygge Barn,Бурдугуз,"Нижняя набережная 5, Бурдугуз",https://ostrovok.ru/hotel/russia/irkutsk/mid11337901/glemping_hygge_barn,,2026-03-17,2026-03-19
