ota_hotel_id,name,date,rooms_num,free_rooms_amount,max_capacity,available_rooms_percent,min_price
irkutsk_city_center,Отель Иркутск Сити Центр,2026-06-04,206,21,42,10.19,8200.00
angara_hotel,Ангара Отель,2026-06-04,300,11,16,3.67,4750.00
tajga_hotel,Отель Тайга,2026-06-04,44,25,49,56.82,3430.00
evropa_hotel,Отель Европа,2026-06-04,58,2,4,3.45,7500.00
history_boutiquehotel,Отель HISTORY Бутик-отель и СПА,2026-06-04,40,46,92,100.0,22443.75
vera_baikal,Отель Вера Байкал,2026-06-04,38,48,96,100.0,7400.00
archi_apt_apartments,Отель Baikal Archi Apt,2026-06-04,7,3,7,42.86,4273.00
hotel_pushkin_2,Отель ПушкинЪ,2026-06-04,23,6,12,26.09,7117.00
vozdushnaya_gavan,Отель Воздушная Гавань,2026-06-04,140,35,70,25.0,5341.00
matreshka_hotel,Отель Матрешка,2026-06-04,35,43,79,100.0,4547.00
yakovlev_hotel,Отель Яковлевъ,2026-06-04,25,7,14,28.0,3010.00
empire_hotel_3,Гостиница Империя,2026-06-04,49,9,16,18.37,4300.00
otel_irkut,Отель Иркут,2026-06-04,30,13,26,43.33,3300.00
azimut_aeroport_irkutsk_hotel,AZIMUT Отель Аэропорт Иркутск 4*,2026-06-04,100,63,125,63.0,7300.00
international_hotel_sayen,SAYEN,2026-06-04,25,14,32,56.0,18000.00
hotel_premium_hotel_pushkin,Премиум-отель Пушкин,2026-06-04,46,36,72,78.26,18000.00
baikal_forest_hotel,Отель Форест,2026-06-04,156,28,56,17.95,5675.00
bajkal_severnoe_more_hotel,Отель Байкал - Северное Море,2026-06-04,119,97,160,81.51,4935.00
dohodnyij_dom_listratvoj_butikhotel,Отель Доходный дом Листратовой,2026-06-04,15,9,14,60.0,3885.00
ibis_irkutsk_center,Отель Ибис Иркутск Центр,2026-06-04,128,82,164,64.06,5750.00
victory_hotel_4,Гостиница Виктория,2026-06-04,30,4,8,13.33,4800.00
hotel_nuur_hotel,Отель Nuur Hotel,2026-06-04,28,28,56,100.0,7500.00
apartamentyi_v_irkutske,Меблированные комнаты в Иркутске,2026-06-04,0,2,4,100.0,1780.00
baikal_view_hotel,Baikal View Hotel,2026-06-04,99,172,348,100.0,12052.00
baikal_business_center_hotel,Отель Байкал Бизнес Центр,2026-06-04,59,10,18,16.95,5100.00
mayak_hotel_listvyanka,Отель Маяк,2026-06-04,54,23,40,42.59,7000.00
best_eastern_hotel_zvezda,Отель Звезда,2026-06-04,65,50,100,76.92,7514.00
rus_hotel_irkutsk,Гостиничный Комплекс Русь,2026-06-04,56,20,35,35.71,4550.00
grand_baikal,Отель Гранд Байкал,2026-06-04,64,13,24,20.31,4253.00
malinovka_3,Малиновка,2026-06-04,0,3,8,100.0,2275.00
taiga_2,Отель Taiga,2026-06-04,101,71,114,70.3,5531.00
hotel_nikola_2,Отель Никола,2026-06-04,27,32,64,100.0,4957.00
aristokrat_hotel,Отель Аристократ,2026-06-04,12,13,21,100.0,5100.00
