ota_hotel_id,name,date,rooms_num,free_rooms_amount,max_capacity,available_rooms_percent,min_price
irkutsk_city_center,Отель Иркутск Сити Центр,2026-05-28,206,78,156,37.86,5300.00
tajga_hotel,Отель Тайга,2026-05-28,44,36,85,81.82,3500.00
hotel_premium_hotel_pushkin,Премиум-отель Пушкин,2026-05-28,46,5,10,10.87,13500.00
victory_hotel_4,Гостиница Виктория,2026-05-28,30,8,16,26.67,4300.00
hotel_nuur_hotel,Отель Nuur Hotel,2026-05-28,28,7,14,25.0,6000.00
magnetit,Отель Магнетит,2026-05-28,55,16,18,29.09,3100.00
apartamentyi_v_irkutske,Меблированные комнаты в Иркутске,2026-05-28,0,3,6,100.0,1780.00
empire_hotel_3,Гостиница Империя,2026-05-28,49,10,17,20.41,4500.00
klubnyij_kvartal_apartments,Клубный Квартал,2026-05-28,67,16,16,23.88,3500.00
yakovlev_hotel,Отель Яковлевъ,2026-05-28,25,10,22,40.0,3010.00
azimut_aeroport_irkutsk_hotel,AZIMUT Отель Аэропорт Иркутск 4*,2026-05-28,100,45,96,45.0,7000.00
dohodnyij_dom_listratvoj_butikhotel,Отель Доходный дом Листратовой,2026-05-28,15,12,21,80.0,3219.00
podlemorie_hotel,Отель Подлеморье,2026-05-28,14,8,18,57.14,4000.00
best_eastern_hotel_zvezda,Отель Звезда,2026-05-28,65,32,64,49.23,5932.00
rus_hotel_irkutsk,Гостиничный Комплекс Русь,2026-05-28,56,66,123,100.0,3244.00
otel_irkut,Отель Иркут,2026-05-28,30,20,36,66.67,3000.00
bajkal_hotel,Отель Байкал,2026-05-28,72,48,95,66.67,9000.00
miniotel_good_hotel,Мини-Отель Good Hotel,2026-05-28,6,4,8,66.67,2200.00
matreshka_hotel,Отель Матрешка,2026-05-28,35,33,61,94.29,3612.00
malinovka_3,Малиновка,2026-05-28,0,5,14,100.0,2571.00
atlas_hotel_3,Гостиница Атлас,2026-05-28,29,10,21,34.48,3563.10
hotel_pushkin_2,Отель ПушкинЪ,2026-05-28,23,4,8,17.39,11375.00
kheyvitsa_guest_house,Отель Гостевой Дом Хейвица,2026-05-28,8,8,15,100.0,4650.00
history_boutiquehotel,Отель HISTORY Бутик-отель и СПА,2026-05-28,40,38,76,95.0,22443.75
baikal_view_hotel,Baikal View Hotel,2026-05-28,99,36,72,36.36,14286.00
inn_business_hall,Отель Business Hall,2026-05-28,18,15,28,83.33,3790.00
evropa_hotel,Отель Европа,2026-05-28,58,6,9,10.34,6500.00
grand_baikal,Отель Гранд Байкал,2026-05-28,64,12,23,18.75,2769.00
taiga_2,Отель Taiga,2026-05-28,101,72,120,71.29,5625.00
