ota_hotel_id,name,date,rooms_num,free_rooms_amount,max_capacity,available_rooms_percent,min_price
irkutsk_city_center,Отель Иркутск Сити Центр,2026-06-10,206,5,10,2.43,9000.00
tajga_hotel,Отель Тайга,2026-06-10,44,14,27,31.82,4900.00
archi_apt_apartments,Отель Baikal Archi Apt,2026-06-10,7,5,10,71.43,3513.00
vozdushnaya_gavan,Отель Воздушная Гавань,2026-06-10,140,14,28,10.0,5341.00
hotel_nuur_hotel,Отель Nuur Hotel,2026-06-10,28,21,41,75.0,7000.00
malinovka_3,Малиновка,2026-06-10,0,1,4,100.0,5934.00
vera_baikal,Отель Вера Байкал,2026-06-10,38,17,34,44.74,7400.00
otel_irkut,Отель Иркут,2026-06-10,30,9,18,30.0,3300.00
evropa_hotel,Отель Европа,2026-06-10,58,49,81,84.48,4800.00
otel_tsentral,Отель Централь,2026-06-10,48,28,56,58.33,7200.00
azimut_aeroport_irkutsk_hotel,AZIMUT Отель Аэропорт Иркутск 4*,2026-06-10,100,53,104,53.0,6700.00
hotel_nataly_2,Отель Натали,2026-06-10,12,5,9,41.67,3800.00
history_boutiquehotel,Отель HISTORY Бутик-отель и СПА,2026-06-10,40,36,72,90.0,22443.75
hotel_premium_hotel_pushkin,Премиум-отель Пушкин,2026-06-10,46,35,70,76.09,18000.00
bajkal_hotel,Отель Байкал,2026-06-10,72,21,41,29.17,11500.00
apartamentyi_v_irkutske,Меблированные комнаты в Иркутске,2026-06-10,0,1,2,100.0,1780.00
baza_otdykha_gostiny_dvor_vdokhnovenie,Отель Гостиный Двор Вдохновение,2026-06-10,34,36,72,100.0,4000.00
yakovlev_hotel,Отель Яковлевъ,2026-06-10,25,1,2,4.0,4327.00
ibis_irkutsk_center,Отель Ибис Иркутск Центр,2026-06-10,128,47,94,36.72,6750.00
legend_of_baikal,Отель Легенда Байкала,2026-06-10,35,17,34,48.57,9375.00
empire_hotel_3,Гостиница Империя,2026-06-10,49,9,16,18.37,4700.00
rus_hotel_irkutsk,Гостиничный Комплекс Русь,2026-06-10,56,68,122,100.0,4550.00
baikal_forest_hotel,Отель Форест,2026-06-10,156,31,62,19.87,5675.00
victory_hotel_4,Гостиница Виктория,2026-06-10,30,10,20,33.33,4800.00
montana_hostel,Меблированные комнаты Montana,2026-06-10,9,9,11,100.0,800.00
inn_business_hall,Отель Business Hall,2026-06-10,18,7,14,38.89,4420.00
dohodnyij_dom_listratvoj_butikhotel,Отель Доходный дом Листратовой,2026-06-10,15,8,14,53.33,4995.00
grand_baikal,Отель Гранд Байкал,2026-06-10,64,13,24,20.31,4253.00
divobaykala_flat_1,Диво Байкала 1,2026-06-10,0,1,2,100.0,2425.00
gostevoy_dom_sunrise,Sunrise,2026-06-10,0,2,5,100.0,7421.00
atlas_hotel_3,Гостиница Атлас,2026-06-10,29,1,2,3.45,7415.10
baikal_view_hotel,Baikal View Hotel,2026-06-10,99,180,360,100.0,12052.00
flagman_hotel,Отель Флагман,2026-06-10,10,7,16,70.0,8500.00
bajkal_severnoe_more_hotel,Отель Байкал - Северное Море,2026-06-10,119,101,202,84.87,4446.00
olkhon_inn,Olkhon Inn,2026-06-10,0,36,72,100.0,5700.00
baykal_shale_guest_house,Байкал Шале,2026-06-10,11,14,32,100.0,4452.00
the_sky_of_lake_baikal,Небо Байкала,2026-06-10,0,8,18,100.0,3463.00
hotel_flagman_olkhona,Отель Флагман Ольхона,2026-06-10,15,22,44,100.0,5143.00
minihotel_albatros,Гостиница Альбатрос,2026-06-10,12,9,22,75.0,2700.00
miniotel_good_hotel,Мини-Отель Good Hotel,2026-06-10,6,3,6,50.0,2200.00
baykal_guest_house_3,Меблированные комнаты Байкал,2026-06-10,0,15,21,100.0,3166.00
hotel_nikola_2,Отель Никола,2026-06-10,27,27,54,100.0,4561.00
podlemorie_hotel,Отель Подлеморье,2026-06-10,14,8,16,57.14,5500.00
domik_na_kholme_guest_house,Меблированные комнаты Домик на холме,2026-06-10,0,1,2,100.0,15040.00
guest_house_baykaliya,Байкалия,2026-06-10,0,3,6,100.0,7421.00
gostevoj_dom_na_zvezdinskoj,Отель на Звездинской,2026-06-10,25,31,67,100.0,3362.00
baikal_business_center_hotel,Отель Байкал Бизнес Центр,2026-06-10,59,9,17,15.25,5400.00
klubnyij_kvartal_apartments,Клубный Квартал,2026-06-10,67,9,18,13.43,3500.00
international_hotel_sayen,SAYEN,2026-06-10,25,7,14,28.0,18400.00
hotel_complex_baikalov_ostrog,Гостиница Байкалов Острог,2026-06-10,0,70,144,100.0,10389.00
apartments_viking_khaus,Викинг Хаус,2026-06-10,0,1,2,100.0,15000.00
aristokrat_hotel,Отель Аристократ,2026-06-10,12,3,5,25.0,4200.00
lyuks_hotel_4,Отель Люкс,2026-06-10,15,8,16,53.33,2500.00
alpari,Гостиница Альпари,2026-06-10,10,3,6,30.0,2400.00
alaniya,Алания,2026-06-10,0,11,31,100.0,4000.00
hotel_pushkin_2,Отель ПушкинЪ,2026-06-10,23,24,48,100.0,7374.00
city_park_hotel_13,Меблированные комнаты City Park,2026-06-10,0,7,14,100.0,2090.00
flagman_hotel_4,Отель Флагман,2026-06-10,13,12,24,92.31,6000.00
baykal_khan_hotel_olkhon,Отель Байкал-Хан Ольхон,2026-06-10,40,21,42,52.5,13570.00
uda_2,Отель УДА,2026-06-10,45,41,58,91.11,1700.00
larus,Отель Ларус,2026-06-10,14,0,0,0.0,
taiga_2,Отель Taiga,2026-06-10,101,45,84,44.55,6151.00
chastny_dom_na_peskakh_guest_house,Частный Дом На Песках,2026-06-10,0,3,6,100.0,2348.00
hotel_harats_inn,Отель Harat's inn,2026-06-10,12,9,18,75.0,5000.00
lotos_hotel,Отель Лотос,2026-06-10,23,9,19,39.13,1000.00
artrezidentsiya_port_olhon,Арт-отель Порт Ольхон,2026-06-10,65,0,0,0.0,
kheyvitsa_guest_house,Отель Гостевой Дом Хейвица,2026-06-10,8,3,6,37.5,5232.00
best_eastern_hotel_zvezda,Отель Звезда,2026-06-10,65,65,130,100.0,7600.00
gostinitsa_akademicheskaya,Отель Гостиница Академическая,2026-06-10,48,29,43,60.42,2700.00
gostevoy_dom_briz_3,Меблированные комнаты БРИЗ,2026-06-10,16,0,0,0.0,
aura_living_quarters,Меблированные комнаты Аура,2026-06-10,0,0,0,0.0,
burduguz_hotel_2,Парк-Отель Бурдугуз,2026-06-10,69,0,0,0.0,
modul,Гостиница Комфорт,2026-06-10,12,0,0,0.0,
armat_hotel,Отель Армат,2026-06-10,40,57,114,100.0,4700.00
guesthouse_dudeevukh,Меблированные комнаты Дудеевых,2026-06-10,0,0,0,0.0,
olkhonstory_guest_house,Ольхон стори,2026-06-10,6,10,20,100.0,6500.00
hotel_aziyayevropa,Отель Азия-Европа,2026-06-10,19,0,0,0.0,
lada_8,Отель Гостиница ЛАДА,2026-06-10,22,0,0,0.0,
hotel_anastasiya_2,Отель ГК Анастасия,2026-06-10,26,32,59,100.0,9100.00
minihotel_panda,Отель ДиаДэй,2026-06-10,9,0,0,0.0,
bolshoe_puteshestvie_hotel,Кемпинг Отель Ольхон,2026-06-10,10,3,9,30.0,5480.00
beliy_sobol_parkhotel,Парк-отель Белый Соболь,2026-06-10,32,13,39,40.62,4500.00
parus_18,Курортный отель Парус,2026-06-10,17,0,0,0.0,
hotel_angara,Отель Ангара-Приоритет,2026-06-10,31,22,44,70.97,3800.00
green_hotel_,Грин Отель,2026-06-10,22,16,31,72.73,3543.75
krestovaya_pad_hotel,Гостиница Крестовая падь,2026-06-10,27,0,0,0.0,
hotel_yubileinaya__2,Гостиница Юбилейная,2026-06-10,23,16,29,69.57,2443.00
hotel_sozvezdie_baikala,Отель Созвездие Байкала,2026-06-10,22,9,18,40.91,3800.00
kupechesky_dvor_hotel,Отель Купеческий Дворъ,2026-06-10,14,13,26,92.86,7380.00
inn_oasis_2,База отдыха Оазис,2026-06-10,13,9,17,69.23,6000.00
7_dorog,Гостиница 7 дорог,2026-06-10,19,11,19,57.89,5600.00
baykkalina_guest_house,БайкКалина,2026-06-10,0,3,5,100.0,8000.00
v_samom_tsentre_irkutska_minihotel,Отель В Сердце Иркутска,2026-06-10,6,1,4,16.67,5640.00
vostochnaia,Гостиница Восточная,2026-06-10,26,0,0,0.0,
magas,Отель на Перроне,2026-06-10,25,26,54,100.0,1440.00
solnechny_guest_house_7,Cолнечный,2026-06-10,0,0,0,0.0,
