ota_hotel_id,name,date,rooms_num,free_rooms_amount,max_capacity,available_rooms_percent,min_price
irkutsk_city_center,Отель Иркутск Сити Центр,2026-05-29,206,107,214,51.94,5300.00
tajga_hotel,Отель Тайга,2026-05-29,44,36,71,81.82,3500.00
baikal_forest_hotel,Отель Форест,2026-05-29,156,68,136,43.59,5061.00
hotel_premium_hotel_pushkin,Премиум-отель Пушкин,2026-05-29,46,29,58,63.04,13500.00
victory_hotel_4,Гостиница Виктория,2026-05-29,30,11,22,36.67,4300.00
hotel_nuur_hotel,Отель Nuur Hotel,2026-05-29,28,15,29,53.57,6000.00
klubnyij_kvartal_apartments,Клубный Квартал,2026-05-29,67,12,12,17.91,4100.00
azimut_aeroport_irkutsk_hotel,AZIMUT Отель Аэропорт Иркутск 4*,2026-05-29,100,73,145,73.0,6500.00
matreshka_hotel,Отель Матрешка,2026-05-29,35,26,48,74.29,4111.00
magnetit,Отель Магнетит,2026-05-29,55,16,18,29.09,3100.00
vozdushnaya_gavan,Отель Воздушная Гавань,2026-05-29,140,44,88,31.43,5143.00
apartamentyi_v_irkutske,Меблированные комнаты в Иркутске,2026-05-29,0,2,4,100.0,1780.00
empire_hotel_3,Гостиница Империя,2026-05-29,49,10,17,20.41,4300.00
dohodnyij_dom_listratvoj_butikhotel,Отель Доходный дом Листратовой,2026-05-29,15,11,17,73.33,3219.00
yakovlev_hotel,Отель Яковлевъ,2026-05-29,25,8,18,32.0,3762.00
podlemorie_hotel,Отель Подлеморье,2026-05-29,14,3,7,21.43,5000.00
best_eastern_hotel_zvezda,Отель Звезда,2026-05-29,65,25,50,38.46,5932.00
rus_hotel_irkutsk,Гостиничный Комплекс Русь,2026-05-29,56,62,115,100.0,3244.00
otel_irkut,Отель Иркут,2026-05-29,30,15,27,50.0,3000.00
evropa_hotel,Отель Европа,2026-05-29,58,24,38,41.38,4000.00
bajkal_hotel,Отель Байкал,2026-05-29,72,29,57,40.28,9000.00
miniotel_good_hotel,Мини-Отель Good Hotel,2026-05-29,6,4,8,66.67,2200.00
baikal_view_hotel,Baikal View Hotel,2026-05-29,99,101,204,100.0,9493.00
atlas_hotel_3,Гостиница Атлас,2026-05-29,29,10,21,34.48,3563.10
kheyvitsa_guest_house,Отель Гостевой Дом Хейвица,2026-05-29,8,8,15,100.0,4650.00
history_boutiquehotel,Отель HISTORY Бутик-отель и СПА,2026-05-29,40,12,24,30.0,24438.75
inn_business_hall,Отель Business Hall,2026-05-29,18,13,25,72.22,3790.00
grand_baikal,Отель Гранд Байкал,2026-05-29,64,13,24,20.31,2769.00
malinovka_3,Малиновка,2026-05-29,0,4,12,100.0,3560.00
otel_tsentral,Отель Централь,2026-05-29,48,61,121,100.0,7200.00
taiga_2,Отель Taiga,2026-05-29,101,87,140,86.14,5531.00
mihail_strogov,Отель Михаил Строгов,2026-05-29,20,2,4,10.0,3870.00
minihotel_albatros,Гостиница Альбатрос,2026-05-29,12,11,28,91.67,2700.00
lazurny_bereg_hotel_,Гостиница Лазурный берег,2026-05-29,65,6,12,9.23,3800.00
gostevoy_dom_sunrise,Sunrise,2026-05-29,0,3,7,100.0,8410.00
baza_otdykha_gostiny_dvor_vdokhnovenie,Отель Гостиный Двор Вдохновение,2026-05-29,34,35,69,100.0,3500.00
lotos_hotel,Отель Лотос,2026-05-29,23,12,26,52.17,2300.00
guest_house_baykaliya,Байкалия,2026-05-29,0,6,12,100.0,7421.00
minihotel_panda,Отель ДиаДэй,2026-05-29,9,5,12,55.56,2880.00
the_sky_of_lake_baikal,Небо Байкала,2026-05-29,0,10,23,100.0,2968.00
apartments_viking_khaus,Викинг Хаус,2026-05-29,0,2,6,100.0,7500.00
angara_hotel,Ангара Отель,2026-05-29,300,41,61,13.67,4250.00
baykal_khan_listvyanka,Отель Байкал Хан п.Листвянка,2026-05-29,18,6,17,33.33,8040.00
baikal_business_center_hotel,Отель Байкал Бизнес Центр,2026-05-29,59,10,18,16.95,4800.00
city_park_hotel_13,Меблированные комнаты City Park,2026-05-29,0,3,3,100.0,1865.00
vera_baikal,Отель Вера Байкал,2026-05-29,38,30,60,78.95,6000.00
dom_baykal_guest_house,Меблированные комнаты Дом Байкал,2026-05-29,15,13,40,86.67,3166.00
hotel_harats_inn,Отель Harat's inn,2026-05-29,12,8,14,66.67,4947.00
kalina_house_olkhon_baikal_guest_house,Конкордия,2026-05-29,8,8,12,100.0,8417.00
bajkal_severnoe_more_hotel,Отель Байкал - Северное Море,2026-05-29,119,63,99,52.94,4935.00
baykal_guest_house_3,Меблированные комнаты Байкал,2026-05-29,0,13,19,100.0,2500.00
miniotel_medveditsa,Меблированные комнаты Медведица,2026-05-29,0,9,17,100.0,4710.00
mayak_hotel_listvyanka,Отель Маяк,2026-05-29,54,2,3,3.7,7770.00
alaniya,Алания,2026-05-29,0,11,30,100.0,4000.00
hotel_nataly_2,Отель Натали,2026-05-29,12,6,10,50.0,3800.00
chastny_dom_na_peskakh_guest_house,Частный Дом На Песках,2026-05-29,0,4,11,100.0,2938.00
ibis_irkutsk_center,Отель Ибис Иркутск Центр,2026-05-29,128,81,161,63.28,5350.00
uda_2,Отель УДА,2026-05-29,45,36,55,80.0,1700.00
archi_apt_apartments,Отель Baikal Archi Apt,2026-05-29,7,6,13,85.71,2976.00
baza_otdykha_olkhon,База отдыха Ольхон,2026-05-29,50,40,110,80.0,4500.00
legend_of_baikal,Отель Легенда Байкала,2026-05-29,35,1,2,2.86,5000.00
hotel_nikola_2,Отель Никола,2026-05-29,27,4,8,14.81,6600.00
international_hotel_sayen,SAYEN,2026-05-29,25,18,38,72.0,18000.00
artrezidentsiya_port_olhon,Арт-отель Порт Ольхон,2026-05-29,65,0,0,0.0,
